Input,Output
Create a magic recipe for Cures sick dragons.,"Dragon Tonic | Ingredients: Russian's Dragon Nails, Betony, Horned toad, Flower head, Armadillo bile | Steps: 1. Use Episkey to prepare the cauldron and summon all necessary ingredients., 2. Add Russian's Dragon Nails and Betony, and stir clockwise for 10 minutes., 3. Cast Geminio to heat the mixture to a boiling point., 4. Add Horned toad, Flower head, and Armadillo bile., 5. Use Expelliarmus to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Causes the drinker's face to break out in fungi.,"Fungiface Potion | Ingredients: Nightshade, Blowfly, Moly, Tar, Belladonna | Steps: 1. Use Fidelius Charm to prepare the cauldron and summon all necessary ingredients., 2. Add Nightshade and Blowfly, and stir clockwise for 10 minutes., 3. Cast Impervius to heat the mixture to a boiling point., 4. Add Moly, Tar, and Belladonna., 5. Use Avada Kedavra to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Made the drinker think the one who gave them the potion was their best friend.,"Gregory's Unctuous Unction | Ingredients: Woodlice Extract 63, Pond Slime, Fluxweed, Stewed Mandrake, Snakeweed | Steps: 1. Use Muffliato to prepare the cauldron and summon all necessary ingredients., 2. Add Woodlice Extract 63 and Pond Slime, and stir clockwise for 10 minutes., 3. Cast Incendio to heat the mixture to a boiling point., 4. Add Fluxweed, Stewed Mandrake, and Snakeweed., 5. Use Levicorpus to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Causes the drinker to become infatuated with the giver of the potion.,"Heartbreak Teardrops | Ingredients: Dragon claw, Plangentine, Stench of the Dead, Rat tail, Horned slug | Steps: 1. Use Homenum Revelio to prepare the cauldron and summon all necessary ingredients., 2. Add Dragon claw and Plangentine, and stir clockwise for 10 minutes., 3. Cast Periculum to heat the mixture to a boiling point., 4. Add Stench of the Dead, Rat tail, and Horned slug., 5. Use Riddikulus to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Laxative.,"Laxative Potion | Ingredients: Spirit of Myrrh, Lovage, Flabberghasted leech, Bloodroot, Tar | Steps: 1. Use Aguamenti to prepare the cauldron and summon all necessary ingredients., 2. Add Spirit of Myrrh and Lovage, and stir clockwise for 10 minutes., 3. Cast Rictusempra to heat the mixture to a boiling point., 4. Add Flabberghasted leech, Bloodroot, and Tar., 5. Use Petrificus Totalus to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Mental instability.,"Essence of Insanity | Ingredients: Runespoor egg, Blood, Valerian, Castor oil, Chizpurfle carapace | Steps: 1. Use Impervius to prepare the cauldron and summon all necessary ingredients., 2. Add Runespoor egg and Blood, and stir clockwise for 10 minutes., 3. Cast Conjunctivitis Curse to heat the mixture to a boiling point., 4. Add Valerian, Castor oil, and Chizpurfle carapace., 5. Use Erecto to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Protects drinker from fire.,"Fire-Protection Potion | Ingredients: Bulbadox juice, Valerian root, Cinnamon, Dragon dung, Blood | Steps: 1. Use Homenum Revelio to prepare the cauldron and summon all necessary ingredients., 2. Add Bulbadox juice and Valerian root, and stir clockwise for 10 minutes., 3. Cast Tarantallegra to heat the mixture to a boiling point., 4. Add Cinnamon, Dragon dung, and Blood., 5. Use Aparecium to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Temporarily increased the spell power of the drinker.,"Maxima Potion | Ingredients: Camphirated Spirit, Rotten egg, Urine, Corn starch, Blatta Pulvereus | Steps: 1. Use Evanesco to prepare the cauldron and summon all necessary ingredients., 2. Add Camphirated Spirit and Rotten egg, and stir clockwise for 10 minutes., 3. Cast Tarantallegra to heat the mixture to a boiling point., 4. Add Urine, Corn starch, and Blatta Pulvereus., 5. Use Reducto to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
"Create a magic recipe for Causes choking, possibly suffocation.","Garrotting Gas | Ingredients: Banana, Moondew, Doxy egg, Chizpurfle fang, Rue | Steps: 1. Use Conjunctivitis Curse to prepare the cauldron and summon all necessary ingredients., 2. Add Banana and Moondew, and stir clockwise for 10 minutes., 3. Cast Impedimenta to heat the mixture to a boiling point., 4. Add Doxy egg, Chizpurfle fang, and Rue., 5. Use Obliviate to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
Create a magic recipe for Causes the drinker's face to break out in fungi.,"Fungiface Potion | Ingredients: Silver, Valerian, Poison ivy, Firefly, Wood louse | Steps: 1. Use Finite Incantatem to prepare the cauldron and summon all necessary ingredients., 2. Add Silver and Valerian, and stir clockwise for 10 minutes., 3. Cast Lumos to heat the mixture to a boiling point., 4. Add Poison ivy, Firefly, and Wood louse., 5. Use Expelliarmus to finalize the potion's consistency. | Notes: Handle the ingredients with care, particularly when adding volatile ingredients."
